source,target,label,touches_protected
gender,gap_years,discriminatory,True
gender,negotiation,discriminatory,True
gender,screening_score,discriminatory,True
gap_years,shortlisted,structural,False
negotiation,shortlisted,structural,False
screening_score,shortlisted,structural,False
race,zip,proxy,False
zip,university_quality,proxy,False
university_quality,skills,legitimate,False
ses,university_quality,legitimate,False
skills,screening_score,legitimate,False
skills,shortlisted,legitimate,False
experience_years,screening_score,legitimate,False
experience_years,shortlisted,legitimate,False
education_level,shortlisted,legitimate,False
source,target,label,touches_protected
sex,occupation,discriminatory,True
sex,hours-per-week,discriminatory,True
sex,marital-status,discriminatory,True
sex,relationship,discriminatory,True
sex,income,discriminatory,True
occupation,income,legitimate,False
occupation,hours-per-week,legitimate,False
hours-per-week,income,legitimate,False
marital-status,income,structural,False
marital-status,relationship,legitimate,False
age,income,legitimate,False
age,marital-status,structural,False
age,occupation,structural,False
education-num,occupation,legitimate,False
education-num,income,legitimate,False
education-num,hours-per-week,legitimate,False
race,native-country,proxy,False
race,income,proxy,False
capital-gain,income,legitimate,False
capital-loss,income,legitimate,False
workclass,income,legitimate,False
workclass,occupation,structural,False
